-0.01, 0, -0.9, 0.33
-0.01, -0.15, -0.88, 1.02
-0.03, -0.6, -0.77, 3.53
-0.06, -0.94, -0.59, 6.28
-0.08, -1.03, -0.39, 7.79
-0.1, -0.88, -0.21, 7.31
-0.12, -0.53, -0.08, 5.49
-0.12, -0.17, -0.03, 2.77
-0.12, 0, -0.01, 1.56
-0.11, 0.09, 0.01, 0.73
-0.11, 0.11, 0.03, 0.76
-0.11, 0.12, 0.04, 0.5
-0.1, 0.15, 0.05, 0.55
-0.1, 0.17, 0.06, 0.4
-0.09, 0.2, 0.06, 0.16
-0.09, 0.23, 0.07, 0.18
-0.08, 0.28, 0.07, 0.05
-0.07, 0.3, 0.06, -0.16
-0.06, 0.32, 0.06, -0.25
-0.05, 0.35, 0.05, -0.16
-0.04, 0.37, 0.05, -0.22
-0.04, 0.39, 0.04, -0.36
-0.02, 0.4, 0.03, -0.32
-0.02, 0.39, 0.02, -0.24
0, 0.41, 0.02, -0.26
0.01, 0.42, 0.01, -0.41
0.02, 0.42, -0.01, -0.44
0.03, 0.42, -0.01, -0.33
0.04, 0.42, -0.02, -0.34
0.05, 0.42, -0.03, -0.33
0.06, 0.41, -0.03, -0.27
0.07, 0.39, -0.04, -0.26
0.08, 0.38, -0.04, -0.07
0.09, 0.38, -0.04, -0.3
0.1, 0.35, -0.05, -0.25
0.1, 0.35, -0.05, -0.07
0.11, 0.33, -0.05, -0.02
0.12, 0.33, -0.05, -0.2
0.13, 0.31, -0.06, -0.14
0.14, 0.3, -0.06, -0.1
0.14, 0.28, -0.06, -0.03
0.15, 0.25, -0.06, -0.01
0.15, 0.24, -0.06, 0
0.16, 0.23, -0.06, 0
0.16, 0.21, -0.06, 0
0.17, 0.19, -0.06, 0
0.17, 0.17, -0.06, 0.09
0.18, 0.14, -0.05, 0.15
0.18, 0.13, -0.05, 0.08
0.18, 0.14, -0.05, 0.09
0.19, 0.12, -0.05, 0.04
0.19, 0.17, -0.05, -0.27
0.2, 0.21, -0.08, -0.72
0.2, 0.23, -0.11, -1.07
0.21, 0.15, -0.13, -0.79
0.2, 0.01, -0.11, 0.2
0.2, -0.02, -0.1, 0.28
0.2, -0.02, -0.1, 0.03
0.2, -0.08, -0.1, 0.24
0.2, -0.12, -0.09, 0.29
0.19, -0.14, -0.08, 0.31
0.19, -0.17, -0.07, 0.4
0.18, -0.2, -0.06, 0.38
0.18, -0.22, -0.05, 0.54
0.17, -0.23, -0.04, 0.51
0.17, -0.24, -0.03, 0.47
0.16, -0.25, -0.02, 0.47
0.16, -0.25, -0.01, 0.48
0.15, -0.25, 0, 0.37
0.14, -0.23, 0.01, 0.36
0.14, -0.23, 0.02, 0.23
0.13, -0.23, 0.02, 0.37
0.13, -0.22, 0.03, 0.33
0.12, -0.21, 0.04, 0.29
0.12, -0.19, 0.04, 0.19
0.11, -0.18, 0.04, 0.05
0.11, -0.17, 0.04, 0.06
0.1, -0.15, 0.04, 0.06
0.1, -0.14, 0.05, 0.09
0.1, -0.06, 0.04, -0.37
0.1, -0.04, 0.02, -0.61
0.1, -0.07, 0.01, -0.24
0.09, -0.11, 0.02, 0.15
0.09, -0.12, 0.02, 0.22
0.09, -0.1, 0.03, 0.15
0.09, 0, 0.01, -0.71
0.09, -0.04, 0, -0.35
0.08, -0.1, 0, 0.08
0.08, -0.12, 0.01, 0.3
0.08, -0.09, 0.01, 0.02
0.08, -0.04, 0, -0.32
0.08, -0.04, 0, -0.25
0.08, -0.09, 0, 0.02
0.07, -0.09, 0, 0.05
0.07, -0.1, 0.01, 0.14
0.07, -0.1, 0.01, 0.09
0.07, -0.09, 0.02, 0.17
0.06, -0.06, 0.02, -0.01
0.07, 0, 0, -0.51
0.06, -0.04, -0.01, -0.19
0.06, -0.07, 0, 0.04
0.06, -0.09, 0, 0.05
0.06, -0.09, 0.01, 0.33
0.06, -0.09, 0.01, 0.19
0.05, -0.05, 0.01, 0.01
0.05, -0.02, 0, -0.26
0.05, -0.07, 0.01, 0.06
0.05, -0.07, 0.01, 0.12
0.05, -0.04, 0.01, -0.06
0.05, -0.03, 0, -0.19
0.05, -0.03, 0, -0.13
0.05, -0.07, 0.01, 0.19
0.04, -0.07, 0.01, 0.2
0.04, -0.02, 0.01, -0.15
0.04, -0.03, 0, -0.15
0.04, -0.05, 0.01, 0.07
0.04, -0.03, 0, -0.07
0.04, -0.06, 0.01, 0.08
0.04, -0.05, 0.01, 0.06
0.04, -0.03, 0.01, -0.17
0.04, -0.05, 0.01, 0.13
