0.013, 0.09
0.025, 0.26
0.037, 0.28
0.049, 0.32
0.062, 0.36
0.074, 0.38
0.086, 0.38
0.098, 0.38
0.11, 0.4
0.122, 0.42
0.134, 0.44
0.146, 0.44
0.158, 0.44
0.17, 0.47
0.183, 0.45
0.194, 0.46
0.206, 0.45
0.218, 0.47
0.23, 0.46
0.242, 0.46
0.254, 0.46
0.267, 0.46
0.278, 0.47
0.291, 0.45
0.302, 0.49
0.314, 0.47
0.326, 0.47
0.338, 0.47
0.351, 0.47
0.363, 0.48
0.375, 0.47
0.386, 0.48
0.398, 0.47
0.41, 0.47
0.423, 0.48
0.435, 0.47
0.447, 0.48
0.459, 0.46
0.47, 0.48
0.483, 0.47
0.494, 0.47
0.507, 0.48
0.519, 0.47
0.531, 0.49
0.543, 0.46
0.554, 0.47
0.567, 0.48
0.578, 0.48
0.591, 0.48
0.603, 0.48
0.615, 0.5
0.627, 0.47
0.639, 0.5
0.651, 0.49
0.663, 0.49
0.675, 0.48
0.687, 0.48
0.699, 0.48
0.711, 0.46
0.723, 0.49
0.735, 0.49
0.747, 0.49
0.759, 0.49
0.771, 0.5
0.783, 0.49
0.795, 0.47
0.807, 0.51
0.819, 0.5
0.831, 0.5
0.843, 0.49
0.855, 0.49
0.867, 0.49
0.879, 0.47
0.891, 0.51
0.903, 0.5
0.915, 0.5
0.927, 0.5
0.939, 0.49
0.951, 0.49
0.963, 0.47
0.975, 0.49
0.987, 0.5
0.999, 0.5
1.011, 0.47
1.022, 0.5
1.034, 0.49
1.046, 0.49
1.058, 0.5
1.07, 0.51
1.082, 0.49
1.094, 0.49
