0.013, 0.08
0.025, 0.36
0.037, 0.52
0.05, 0.6
0.062, 0.67
0.074, 0.67
0.086, 0.72
0.099, 0.79
0.111, 0.81
0.123, 0.82
0.135, 0.83
0.147, 0.84
0.159, 0.84
0.171, 0.86
0.183, 0.86
0.195, 0.89
0.207, 0.93
0.219, 0.93
0.231, 0.87
0.243, 0.88
0.255, 0.89
0.267, 0.89
0.279, 0.89
0.291, 0.89
0.303, 0.87
0.315, 0.88
0.327, 0.9
0.339, 0.9
0.351, 0.89
0.364, 0.87
0.375, 0.89
0.388, 0.91
0.4, 0.91
0.412, 0.88
0.424, 0.9
0.436, 0.9
0.448, 0.88
0.46, 0.88
0.472, 0.89
0.484, 0.9
0.496, 0.87
0.508, 0.89
0.52, 0.89
0.532, 0.89
0.544, 0.87
0.556, 0.89
0.568, 0.91
0.58, 0.91
0.592, 0.88
0.604, 0.9
0.616, 0.89
