0.013, 0.06
0.025, 0.26
0.037, 0.42
0.05, 0.5
0.062, 0.56
0.074, 0.61
0.086, 0.61
0.098, 0.7
0.111, 0.7
0.123, 0.7
0.135, 0.73
0.147, 0.74
0.159, 0.76
0.171, 0.76
0.183, 0.76
0.195, 0.76
0.207, 0.76
0.219, 0.76
0.231, 0.76
0.243, 0.76
0.255, 0.77
0.267, 0.79
0.279, 0.77
0.291, 0.79
0.303, 0.79
0.315, 0.76
0.327, 0.78
0.339, 0.79
0.351, 0.75
0.363, 0.75
0.375, 0.79
0.387, 0.78
0.399, 0.79
0.411, 0.77
0.423, 0.8
0.435, 0.77
0.447, 0.77
0.459, 0.78
0.471, 0.78
0.483, 0.8
0.495, 0.78
0.507, 0.78
0.519, 0.77
0.531, 0.77
0.543, 0.78
0.555, 0.77
0.567, 0.79
0.58, 0.76
0.591, 0.76
0.604, 0.78
0.616, 0.76
0.628, 0.79
0.64, 0.79
0.652, 0.79
0.664, 0.76
0.676, 0.78
0.688, 0.78
0.7, 0.74
